wavelength [nm],intensity
765.16517, 0.60109159
765.36537, 0.61722568
765.56557, 0.60889267
765.76577, 0.57707324
765.96597, 0.52542962
766.16617, 0.45961224
766.36637, 0.38624427
766.56657, 0.31183577
766.76677, 0.24187069
766.96697, 0.18023286
767.16717, 0.12902627
767.36737, 0.08873924
767.56757, 0.05863362
767.76777, 0.03721955
767.96797, 0.02269808
768.16817, 0.01329843
768.36837, 0.00748523
768.56857, 0.00404765
768.76877, 0.00210278
768.96897, 0.00104949
769.16917, 0.00050322
769.36937, 0.00023181
769.56957, 0.00010259
769.76977, 0.00004362
769.96997, 0.00001782
770.17017, 0.00000699
770.37037, 0.00000264
770.57057, 0.00000096
770.77077, 0.00000034
770.97097, 0.00000012
771.17117, 0.00000008
771.37137, 0.00000015
771.57157, 0.00000041
771.77177, 0.00000116
771.97197, 0.00000318
772.17217, 0.00000838
772.37237, 0.00002122
772.57257, 0.00005160
772.77277, 0.00012056
772.97297, 0.00027061
773.17317, 0.00058353
773.37337, 0.00120888
773.57357, 0.00240597
773.77377, 0.00460037
773.97397, 0.00845061
774.17417, 0.01491341
774.37437, 0.02528479
774.57457, 0.04118462
774.77477, 0.06444723
774.97497, 0.09688730
775.17518, 0.13993387
775.37538, 0.19416559
775.57558, 0.25883031
775.77578, 0.33147548
775.97598, 0.40783183
776.17618, 0.48206350
776.37638, 0.54742018
776.57658, 0.59721510
776.77678, 0.62594214
776.97698, 0.63027636
777.17718, 0.60970713
777.37738, 0.56663703
777.57758, 0.50592025
777.77778, 0.43396289
777.97798, 0.35761568
778.17818, 0.28312220
778.37838, 0.21534001
778.57858, 0.15735080
778.77878, 0.11046040
778.97898, 0.07449681
779.17918, 0.04826832
779.37938, 0.03004555
779.57958, 0.01796766
779.77978, 0.01032277
779.97998, 0.00569763
780.18018, 0.00302125
780.38038, 0.00153912
780.58058, 0.00075327
780.78078, 0.00035418
780.98098, 0.00015999
781.18118, 0.00006943
781.38138, 0.00002895
781.58158, 0.00001159
781.78178, 0.00000446
781.98198, 0.00000165
782.18218, 0.00000059
782.38238, 0.00000020
782.58258, 0.00000007
782.78278, 0.00000003
782.98298, 0.00000002
783.18318, 0.00000005
783.38338, 0.00000014
783.58358, 0.00000041
783.78378, 0.00000112
783.98398, 0.00000293
784.18418, 0.00000739
784.38438, 0.00001790
784.58458, 0.00004163
784.78478, 0.00009302
784.98498, 0.00019968
785.18519, 0.00041178
785.38539, 0.00081582
785.58559, 0.00155282
785.78579, 0.00283948
785.98599, 0.00498827
