wavelength [nm],absorbance
515.61656, 0.04548952
515.63156, 0.04308747
515.64656, 0.04113873
515.66157, 0.03963477
515.67657, 0.03857068
515.69157, 0.03794517
515.70657, 0.03776065
515.72157, 0.03802320
515.73657, 0.03874250
515.75158, 0.03993179
515.76658, 0.04160771
515.78158, 0.04379013
515.79658, 0.04650197
515.81158, 0.04976898
515.82658, 0.05361941
515.84158, 0.05808371
515.85659, 0.06319419
515.87159, 0.06898458
515.88659, 0.07548961
515.90159, 0.08274450
515.91659, 0.09078444
515.93159, 0.09964403
515.94659, 0.10935666
515.96160, 0.11995388
515.97660, 0.13146476
515.99160, 0.14391513
516.00660, 0.15732698
516.02160, 0.17171765
516.03660, 0.18709917
516.05161, 0.20347757
516.06661, 0.22085216
516.08161, 0.23921489
516.09661, 0.25854977
516.11161, 0.27883231
516.12661, 0.30002904
516.14161, 0.32209709
516.15662, 0.34498392
516.17162, 0.36862710
516.18662, 0.39295425
516.20162, 0.41788304
516.21662, 0.44332138
516.23162, 0.46916775
516.24662, 0.49531163
516.26163, 0.52163408
516.27663, 0.54800852
516.29163, 0.57430158
516.30663, 0.60037408
516.32163, 0.62608225
516.33663, 0.65127887
516.35164, 0.67581469
516.36664, 0.69953984
516.38164, 0.72230529
516.39664, 0.74396443
516.41164, 0.76437459
516.42664, 0.78339862
516.44164, 0.80090640
516.45665, 0.81677635
516.47165, 0.83089680
516.48665, 0.84316732
516.50165, 0.85349994
516.51665, 0.86182016
516.53165, 0.86806790
516.54665, 0.87219820
516.56166, 0.87418177
516.57666, 0.87400537
516.59166, 0.87167196
516.60666, 0.86720060
516.62166, 0.86062628
516.63666, 0.85199944
516.65167, 0.84138531
516.66667, 0.82886314
516.68167, 0.81452522
516.69667, 0.79847570
516.71167, 0.78082941
516.72667, 0.76171046
516.74167, 0.74125079
516.75668, 0.71958868
516.77168, 0.69686719
516.78668, 0.67323262
516.80168, 0.64883292
516.81668, 0.62381624
516.83168, 0.59832940
516.84668, 0.57251653
516.86169, 0.54651778
516.87669, 0.52046813
516.89169, 0.49449627
